行动名称	卡牌颜色	行动类型	行动场景	精力值	健康值	心情值	卡面描述	前置	结局导向	心理活动文本气泡	知识卡片内容	固定	仅出现（1开头）
健身操	白	运动	书房	-2	3 + 健康值 * 0.05	MIN(-2 + 健康值 * 0.5 , 2)	normal			跟着视频跳健身操，累得气喘，盼着控糖减脂，心底满是坚持的韧劲……	坚持每日健身操，促进糖分消耗，平稳血糖，增强胰岛敏感性		
慢跑	白	运动	户外	-2	5+ 健康值 * 0.05	-5 + 健康值 * 0.5	normal			咬咬牙出门慢跑，希望稳住血糖减掉赘肉，心里又忐忑又期待……	坚持慢跑，加速糖分代谢，稳定血糖，改善血脂保护血管		
长跑	蓝	运动	户外	-3	10 + 健康值 * 0.05	-10 + 健康值 * 0.2	normal			马上要长跑，担心剧烈运动引发血糖波动，既紧张又想靠运动瘦下来……	坚持长跑，消耗多余糖分，改善胰岛素抵抗，呵护心脑血管		
马拉松挑战	金	运动	户外	-4	-25 + 健康值 * 0.05	+12	final	长跑高手		达成一次之后可以在最早第十回合触发结局事件“促融共竞”	不管能不能跑完全程，我的态度得做到位……	坚持适度、科学备赛的马拉松：益处远大于损伤 长期规范训练后参赛，高效消耗糖分、改善胰岛素抵抗，强化心肺；把控量与恢复可大幅规避关节、心脏损伤。		
点外卖（垃圾食品）	白	进食	厨房	0	0	0	normal			懒得做饭了……	频繁点外卖，高油高糖高盐易造成血糖波动，加重身体代谢负担	0 5	
下厨（普通食品）	白	进食	厨房	-1	1	0	normal			打算亲手做清淡家常菜，把控油量糖分，好好管住体重和血糖，心里稍稍安定……	坚持亲自下厨，可控油盐糖摄入，平稳餐后血糖，减少热量超标	0 5	
下厨（健康食品）	蓝	进食	厨房	-1	1	0	normal			又要吃毫无食欲的鸡胸肉吗……	坚持亲自下厨，可控油盐糖摄入，平稳餐后血糖，减少热量超标	0 5	
下厨（精致健康餐）	金	进食	厨房	-4	1	5	normal	厨艺大师		达成三次之后可以在最早第十回合触发结局事件“地狱厨房”	下定决心自己下厨，精心搭配低糖低脂食材，想兼顾美味与控糖减脂，期待能好好善待自己……	坚持亲自下厨，可控油盐糖摄入，平稳餐后血糖，减少热量超标	0	
吃外卖	白	进食	餐厅	-1	-4 + 健康值 * 0.05	5 - 健康值 * 0.05	normal			明知外卖重油高糖，还是忍不住点了，吃完只剩满心愧疚与不安……	频繁吃外卖，高油高盐高糖易使血糖波动大，吃完容易腹胀犯困	4 9	
吃一般食物	白	进食	餐厅	-1	0+ 健康值 * 0.03	0	normal			清淡家常菜不敢多夹，时刻惦记我的血糖……	坚持吃清淡家常菜，少糖少油，餐后血糖平稳，肠胃舒适无胀腻感	5 10	
吃健康食品	白	进食	餐厅	-1	3 + 健康值 * 0.03	-2	normal			啃着干柴鸡胸肉，难咽也得忍着，怕长胖升血糖，满心委屈……	坚持常吃低脂高蛋白，稳血糖饱腹感强，吃完清爽无油腻负担	4 9	
吃精致健康餐	金	进食	餐厅	-1	8 + 健康值 * 0.03	5	normal			非常的新鲜，非常的美味啊！……	坚持自制均衡健康餐：杂粮、绿叶蔬菜、鸡胸肉、鱼虾、鸡蛋、无糖酸奶、菌菇、低糖瓜果，控糖控油，血糖平稳，吃完饱腹舒服无负担	4 9			
练习吉他	蓝	娱乐	吉他室	-2	0	1	normal			练吉他或许能短暂忘记血糖带来的焦虑……	坚持弹吉他放松，舒缓压力平稳情绪，避免应激升高血糖，身心舒缓		
家庭表演	金	娱乐	客厅	-2	0	7	normal	吉他手		达成一次之后可以在最早第十回合触发结局事件“吉他英雄”	攥着吉他指尖还发紧，我好怕发挥失常，好希望家人能认可我的努力……	登台表演吉他，舒缓焦虑低落，提升自我认同感，缓解糖尿病带来的心理压力	10
